ID,Master,Master Residence,Registree,Status,Sex,Origin,Age,Occupation,Registration Date,Registration District,Sources,Registration District Latitude,Registration District Longitude,Origin Latitude,Origin Longitude,Runaway at Registration,Transfer Date,Escape Date,Freedom Date,Death Date,Codice,Senhores,Morada,Registrados,Naturalidade,Ofícios,,,,,,,,,,,,,
1,Plácido Sotero Pacheco,Santa Carolina,Naxoá,Slave,Female,(Unknown) Mambone,8.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 0v-1.",-21.64915,35.46723,-27.786863,40.071297,,,,,,1166,Plácido Sotero Pacheco,Moçambique,Naxoá,Mambone,Nenhum,,,,,,,,,,,,,#REF!
2,Plácido Sotero Pacheco,Santa Carolina,Mácia,Slave,Female,(Unknown) Mambone,6.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 0v-1.",-21.64915,35.46723,-27.786863,40.071297,,,,1863-03-30,,1166,Plácido Sotero Pacheco,Moçambique,Mácia,Mambone,Nenhum,,,,,,,,,,,,,
3,Plácido Sotero Pacheco,Santa Carolina,Murrende,Slave,Male,(Unknown) Mambone,20.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 0v-1.",-21.64915,35.46723,-27.786863,40.071297,,Unspecified,,,,1166,Plácido Sotero Pacheco,Moçambique,Murrende,Mambone,Nenhum,,,,,,,,,,,,,
4,Plácido Sotero Pacheco,Santa Carolina,Cipriano,Slave,Male,(Makhuwa) Macuane,20.0,Bleeder,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 0v-1.",-21.64915,35.46723,-15.120919,39.268814,,,,1862-06-06,,1166,Plácido Sotero Pacheco,Moçambique,Cipriano,Macuane,Iangrador,,,,,,,,,,,,,
5,Plácido Sotero Pacheco,Santa Carolina,Fortuna,Slave,Male,(Moçambique) Moçambique,25.0,Tailor,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 0v-1.",-21.64915,35.46723,-15.0359,40.73486,,,,,,1166,Plácido Sotero Pacheco,Moçambique,Fortuna,Moçambique,Alfaiate,,,,,,,,,,,,,
6,Leonor,Unspecified,Inocência,Slave,Female,(Unknown) Matibana,20.0,Baker,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 0v-1.",-21.64915,35.46723,-27.786863,40.071297,,,,,,1166,Leonor,,Inocência,Matibana,Padeira,,,,,,,,,,,,,
7,António Maria Guedes,Moçambique,Tomás Gonzaga,Slave,Male,(Unknown) Malema,8.0,"Mason, apprentice",1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 0v-1.",-21.64915,35.46723,-27.786863,40.071297,,,,,,1166,António Maria Guedes,,Tomás Gonzaga,Malema,Aprender de Pidria,,,,,,,,,,,,,
8,António Maria Guedes,Moçambique,Narciso Gomes,Slave,Male,(Yao) Xalau,8.0,"Carpenter, apprentice",1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 0v-1.",-21.64915,35.46723,-15.02263,36.36115,,Unspecified,,,,1166,António Maria Guedes,,Narciso Gomes,Xalau,Aprender de Carpinteiro,,,,,,,,,,,,,
9,João Eduardo Ribeiro,Santa Carolina,Luísa,Slave,Female,(Inhambane) Inhambane,16.0,Unspecified,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 0v-1.",-21.64915,35.46723,-23.87328,35.4103,,,,,,1166,João Eduardo Ribeiro,,Luísa,Inhambane,,,,,,,,,,,,,,
10,João Eduardo Ribeiro,Santa Carolina,Cazaca,Slave,Male,(Unknown) Cubana,17.0,"Blacksmith, apprentice",1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 0v-1.",-21.64915,35.46723,-27.786863,40.071297,,,,,,1166,João Eduardo Ribeiro,,Cazaca,Cubana,Aprender de Ferreiro,,,,,,,,,,,,,
11,José Manoel Proença,Santa Carolina,Queserve,Slave,Male,(Tonga) Bitonga,10.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 1v-2.",-21.64915,35.46723,-23.79642,35.15768,,,,,,1166,José Manoel Proença,,Queserve,Bitonga,Nao tem,,,,,,,,,,,,,
12,José Vicente,Santa Carolina,Agostinho,Slave,Male,(Sofala) Sofala,8.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 1v-2.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,José Vicente,,Agostinho,Sofala,Nao tem,,,,,,,,,,,,,
13,Jamaíja,Santa Carolina,Feliz,Slave,Male,(Inhambane) Inhambane,18.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 1v-2.",-21.64915,35.46723,-23.87328,35.4103,,,,,,1166,Jamaíja,,Feliz,Inhambane,Nao tem,,,,,,,,,,,,,
14,Custódio Vaz,Inhambane,Bate,Slave,Male,(Inhambane) Inhambane,12.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 1v-2.",-21.64915,35.46723,-23.87328,35.4103,,,,,,1166,Custódio Vaz,,Bate,Inhambane,Nao tem,,,,,,,,,,,,,
15,Muracxemo,Santa Carolina,Manduane,Slave,Male,(Inhambane) Inhambane,10.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 1v-2.",-21.64915,35.46723,-23.87328,35.4103,,,,,,1166,Muracxemo,,Manduane,Inhambane,Nao tem,,,,,,,,,,,,,
16,Sebastião Marques,Unspecified,Mahada,Slave,Male,(Inhambane) Inhambane,21.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 1v-2.",-21.64915,35.46723,-23.87328,35.4103,,,,,,1166,Sebastião Marques,,Mahada,Inhambane,Nao tem,,,,,,,,,,,,,
17,João Augusto Pereira Laforte,Unspecified,Rongoana,Slave,Male,(Inhambane) Inhambane,6.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 1v-2.",-21.64915,35.46723,-23.87328,35.4103,,,,,,1166,João Augusto Pereira Leoforte,,Rongoana,Inhambane,Nao tem,,,,,,,,,,,,,
18,"Luísa Amália Rangel, D.",Moçambique,Leonor,Slave,Female,(Madagascar) Madagascar,24.0,Baker,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 2v-3v.",-21.64915,35.46723,-18.731181,46.833564,,,,,,1166,"Luísa Amália Rangel, D.",,Leonor,Madagascar,Doceira e Costureira,,,,,,,,,,,,,
19,Zacarias Herculano da Silva,Unspecified,Fiapo,Slave,Male,(Sofala) Sofala,40.0,Cook,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 2v-3v.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,Zacarias Herculano da Silva,,Fiapo,Sofala,Cozinheiro,,,,,,,,,,,,,
20,Zacarias Herculano da Silva,Unspecified,Andresa,Slave,Female,(Sofala) Sofala,27.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 2v-3v.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,Zacarias Herculano da Silva,,Andresa,Sofala,Nao tem,,,,,,,,,,,,,
